name;type1;type2;total;hp;attack;defense;spAtt;spDef;speed;generation;legendary
bulbasaur;grass;poison;318;45;49;49;65;65;45;1;FALSE
ivysaur;grass;poison;405;60;62;63;80;80;60;1;FALSE
venusaur;grass;poison;525;80;82;83;100;100;80;1;FALSE
venusaurmega venusaur;grass;poison;625;80;100;123;122;120;80;1;FALSE
charmander;fire;;309;39;52;43;60;50;65;1;FALSE
charmeleon;fire;;405;58;64;58;80;65;80;1;FALSE
charizard;fire;flying;534;78;84;78;109;85;100;1;FALSE
charizardmega charizard x;fire;dragon;634;78;130;111;130;85;100;1;FALSE
charizardmega charizard y;fire;flying;634;78;104;78;159;115;100;1;FALSE
squirtle;water;;314;44;48;65;50;64;43;1;FALSE
wartortle;water;;405;59;63;80;65;80;58;1;FALSE
blastoise;water;;530;79;83;100;85;105;78;1;FALSE
blastoisemega blastoise;water;;630;79;103;120;135;115;78;1;FALSE
caterpie;bug;;195;45;30;35;20;20;45;1;FALSE
metapod;bug;;205;50;20;55;25;25;30;1;FALSE
butterfree;bug;flying;395;60;45;50;90;80;70;1;FALSE
weedle;bug;poison;195;40;35;30;20;20;50;1;FALSE
kakuna;bug;poison;205;45;25;50;25;25;35;1;FALSE
beedrill;bug;poison;395;65;90;40;45;80;75;1;FALSE
beedrillmega beedrill;bug;poison;495;65;150;40;15;80;145;1;FALSE
pidgey;normal;flying;251;40;45;40;35;35;56;1;FALSE
pidgeotto;normal;flying;349;63;60;55;50;50;71;1;FALSE
pidgeot;normal;flying;479;83;80;75;70;70;101;1;FALSE
pidgeotmega pidgeot;normal;flying;579;83;80;80;135;80;121;1;FALSE
rattata;normal;;253;30;56;35;25;35;72;1;FALSE
raticate;normal;;413;55;81;60;50;70;97;1;FALSE
spearow;normal;flying;262;40;60;30;31;31;70;1;FALSE
fearow;normal;flying;442;65;90;65;61;61;100;1;FALSE
ekans;poison;;288;35;60;44;40;54;55;1;FALSE
arbok;poison;;438;60;85;69;65;79;80;1;FALSE
pikachu;electric;;320;35;55;40;50;50;90;1;FALSE
raichu;electric;;485;60;90;55;90;80;110;1;FALSE
sandshrew;ground;;300;50;75;85;20;30;40;1;FALSE
sandslash;ground;;450;75;100;110;45;55;65;1;FALSE
nidoranâ™€;poison;;275;55;47;52;40;40;41;1;FALSE
nidorina;poison;;365;70;62;67;55;55;56;1;FALSE
nidoqueen;poison;ground;505;90;92;87;75;85;76;1;FALSE
nidoranâ™‚;poison;;273;46;57;40;40;40;50;1;FALSE
nidorino;poison;;365;61;72;57;55;55;65;1;FALSE
nidoking;poison;ground;505;81;102;77;85;75;85;1;FALSE
clefairy;fairy;;323;70;45;48;60;65;35;1;FALSE
clefable;fairy;;483;95;70;73;95;90;60;1;FALSE
vulpix;fire;;299;38;41;40;50;65;65;1;FALSE
ninetales;fire;;505;73;76;75;81;100;100;1;FALSE
jigglypuff;normal;fairy;270;115;45;20;45;25;20;1;FALSE
wigglytuff;normal;fairy;435;140;70;45;85;50;45;1;FALSE
zubat;poison;flying;245;40;45;35;30;40;55;1;FALSE
golbat;poison;flying;455;75;80;70;65;75;90;1;FALSE
oddish;grass;poison;320;45;50;55;75;65;30;1;FALSE
gloom;grass;poison;395;60;65;70;85;75;40;1;FALSE
vileplume;grass;poison;490;75;80;85;110;90;50;1;FALSE
paras;bug;grass;285;35;70;55;45;55;25;1;FALSE
parasect;bug;grass;405;60;95;80;60;80;30;1;FALSE
venonat;bug;poison;305;60;55;50;40;55;45;1;FALSE
venomoth;bug;poison;450;70;65;60;90;75;90;1;FALSE
diglett;ground;;265;10;55;25;35;45;95;1;FALSE
dugtrio;ground;;405;35;80;50;50;70;120;1;FALSE
meowth;normal;;290;40;45;35;40;40;90;1;FALSE
persian;normal;;440;65;70;60;65;65;115;1;FALSE
psyduck;water;;320;50;52;48;65;50;55;1;FALSE
golduck;water;;500;80;82;78;95;80;85;1;FALSE
mankey;fighting;;305;40;80;35;35;45;70;1;FALSE
primeape;fighting;;455;65;105;60;60;70;95;1;FALSE
growlithe;fire;;350;55;70;45;70;50;60;1;FALSE
arcanine;fire;;555;90;110;80;100;80;95;1;FALSE
poliwag;water;;300;40;50;40;40;40;90;1;FALSE
poliwhirl;water;;385;65;65;65;50;50;90;1;FALSE
poliwrath;water;fighting;510;90;95;95;70;90;70;1;FALSE
abra;psychic;;310;25;20;15;105;55;90;1;FALSE
kadabra;psychic;;400;40;35;30;120;70;105;1;FALSE
alakazam;psychic;;500;55;50;45;135;95;120;1;FALSE
alakazammega alakazam;psychic;;590;55;50;65;175;95;150;1;FALSE
machop;fighting;;305;70;80;50;35;35;35;1;FALSE
machoke;fighting;;405;80;100;70;50;60;45;1;FALSE
machamp;fighting;;505;90;130;80;65;85;55;1;FALSE
bellsprout;grass;poison;300;50;75;35;70;30;40;1;FALSE
weepinbell;grass;poison;390;65;90;50;85;45;55;1;FALSE
victreebel;grass;poison;490;80;105;65;100;70;70;1;FALSE
tentacool;water;poison;335;40;40;35;50;100;70;1;FALSE
tentacruel;water;poison;515;80;70;65;80;120;100;1;FALSE
geodude;rock;ground;300;40;80;100;30;30;20;1;FALSE
graveler;rock;ground;390;55;95;115;45;45;35;1;FALSE
golem;rock;ground;495;80;120;130;55;65;45;1;FALSE
ponyta;fire;;410;50;85;55;65;65;90;1;FALSE
rapidash;fire;;500;65;100;70;80;80;105;1;FALSE
slowpoke;water;psychic;315;90;65;65;40;40;15;1;FALSE
slowbro;water;psychic;490;95;75;110;100;80;30;1;FALSE
slowbromega slowbro;water;psychic;590;95;75;180;130;80;30;1;FALSE
magnemite;electric;steel;325;25;35;70;95;55;45;1;FALSE
magneton;electric;steel;465;50;60;95;120;70;70;1;FALSE
farfetch'd;normal;flying;352;52;65;55;58;62;60;1;FALSE
doduo;normal;flying;310;35;85;45;35;35;75;1;FALSE
dodrio;normal;flying;460;60;110;70;60;60;100;1;FALSE
seel;water;;325;65;45;55;45;70;45;1;FALSE
dewgong;water;ice;475;90;70;80;70;95;70;1;FALSE
grimer;poison;;325;80;80;50;40;50;25;1;FALSE
muk;poison;;500;105;105;75;65;100;50;1;FALSE
shellder;water;;305;30;65;100;45;25;40;1;FALSE
cloyster;water;ice;525;50;95;180;85;45;70;1;FALSE
gastly;ghost;poison;310;30;35;30;100;35;80;1;FALSE
